"wateryear","sm.swe","ds.swe","sp.swe","sr.swe","ccd.swe","bwh.wq","sc.wq","cc.wq","bws.wq","bwh.tot_vol","sc.tot_vol","cc.tot_vol","bws.tot_vol","bwh.ly_vol","sc.ly_vol","cc.ly_vol","bws.ly_vol","bwh.irr_vol","sc.irr_vol","cc.irr_vol","bws.irr_vol","bwh.cm","sc.cm","cc.cm","bws.cm","bwh.liquid_precip","bwh.runoff_total","bwh.snow_covered_area","bwh.swe_total","bws.liquid_precip","bws.runoff_total","bws.snow_covered_area","bws.swe_total","sc.liquid_precip","sc.runoff_total","sc.snow_covered_area","sc.swe_total","cc.liquid_precip","cc.runoff_total","cc.snow_covered_area","cc.swe_total","lwd.aj_t","bc.aj_t","g.aj_t","gs.aj_t","hc.aj_t","ds.aj_t","ga.aj_t","sp.aj_t","sm.aj_t","ccd.aj_t","cg.aj_t","lwd.nj_t","bc.nj_t","g.nj_t","gs.nj_t","hc.nj_t","ds.nj_t","ga.nj_t","sp.nj_t","sm.nj_t","ccd.nj_t","cg.nj_t","picabo.aj_t","fairfield.aj_t","picabo.nj_t","fairfield.nj_t","picabo.sum_t","fairfield.sum_t","cg.log_swe","g.log_swe","gs.log_swe","hc.log_swe","lwd.log_swe","ga.log_swe","bc.log_swe"
2004,91,493,262,76,196,129.016260162602,114.652845528455,4.71439024390244,15.6056097560976,187775.28,82405.422,29972.448,47836.6614,268206.84,76514.526,36325.8126,139637.7774,135927,38060.748,16315.7544,41024.412,147.694929026267,151.560973943149,110.453114541911,135.817623190875,26956.2,72.34854,306030,69408.949,48603.2,196.06217,364688,78401.17,7902.6,32.53256,15357,1740.759,83560.5,728.6046,260800,65968.755,2.22377049180328,0.922191780821919,2.04520547945205,2.20274725274725,3.16010928961748,3.03142076502732,4.54344262295082,4.15846994535519,2.44945355191257,6.71366120218579,4.38410958904109,-7.23152173913044,-8.90989010989011,-7.09010989010989,-6.71555555555555,-6.18804347826087,-5.44673913043478,-4.69347826086956,-4.69782608695652,-7.54239130434783,-2.74347826086956,-5.5989010989011,53.4771557528623,50.7111078362356,24.5022308933233,20.704120980892,64.0533000176939,60.2949609486212,5.55682806169954,5.81413053182507,5.99396142730657,5.32787616878958,6.14203740558736,4.71849887129509,5.79301360838414
2005,178,432,338,165,234,136.886178861789,116.893495934959,4.92382113821138,18.8975609756098,290604.6,88850.52,52260.9516,141603.462,187775.28,82405.422,29972.448,47836.6614,241369.92,44678.898,45721.4076,135576.936,154.959961618192,151.108810609306,137.417980054747,152.96438607739,62544.7,86.14214,325752,54684.376,108515.4,176.67417,374950,60037.124,18153.6,13.21644,947,150.181,212549.8,382.5955,230379,30394.494,2.32191780821918,1.69095890410959,2.27561643835616,2.66356164383562,4.03397260273973,3.19945205479452,4.48657534246575,4.19780821917808,2.47945205479452,6.73671232876712,5.22356164383562,-4.91739130434783,-5.77826086956521,-4.95760869565217,-4.29673913043478,-3.22282608695652,-3.11413043478261,-3.06413043478261,-2.69891304347826,-5.59673913043478,-1.04239130434782,-2.78478260869565,50.5289984693246,48.0876330210801,26.9775543261162,22.8059188555938,65.1730467006816,60.8273506419345,5.53733426701854,5.7268477475872,6.08449941307517,5.4971682252932,5.83773044716594,5.28826703069454,5.6937321388027
2006,330,772,597,442,419,158.650406504065,137.634146341463,10.539674796748,27.9983739837398,535890.96,112386.78,221902.263,393254.532,290604.6,88850.52,52260.9516,141603.462,479449.08,60524.64,211463.5446,381759.048,148.506718511809,143.02340064163,114.71867767046,144.515686698334,181716.8,175.29687,344662,102223.073,305492.3,322.36044,424749,114353.203,46586.6,62.19159,21442,2678.227,534113.5,525.57935,326341,85698.376,2.08684931506849,1.70958904109589,3.44876712328767,2.54657534246575,3.93890410958904,3.16438356164383,4.64602739726028,4.20410958904109,2.42958904109589,6.51589041095892,4.01095890410959,-6.13478260869565,-6.38043478260869,-4.22282608695652,-5.37282608695652,-4.23369565217391,-4.24782608695652,-3.73913043478261,-3.80760869565217,-6.23913043478261,-2.23260869565217,-4.91086956521739,54.2373143490413,51.7333902691511,25.0994259881651,20.908664617381,65.8286453278849,62.264311380532,6.23048144757848,6.48463523563525,6.68835471394676,6.13122648948314,6.63987583382654,5.9427993751267,6.17378610390194
2007,94,389,170,53,137,213.073170731707,155.878048780488,12.3560162601626,54.639837398374,193319.28,93922.488,29299.644,49033.116,535890.96,112386.78,221902.263,393254.532,116366.58,36488.628,8941.8978,27293.904,143.02019776983,145.468113955135,112.297598893903,134.599607750843,218879.8,358.91055,330308,53912.799,302637.3,448.10375,370872,56960.719,29545.6,22.95581,2460,296.868,358207.3,652.09525,283108,39472.859,2.97972602739726,2.56958904109589,4.18082191780822,3.21181318681319,4.52027397260274,4.21456043956044,5.19095890410959,4.9786301369863,3.22931506849315,7.20684931506849,4.73643835616439,-6.90217391304348,-7.42173913043478,-5.29891304347826,-6,-5.3304347826087,-4.4445652173913,-4.87717391304348,-4.54456521739131,-7.15326086956522,-3.2695652173913,-6.2554347826087,54.7846824119066,52.1491930044593,23.2797642855068,16.9201329955332,67.5596637657698,63.8278351993927,5.18178355029209,5.61312810638807,5.96870755998537,4.91998092582813,5.77765232322266,-4.60517018598809,5.44241771052179
2008,239,610,381,356,373,137.772357723577,101.878048780488,4.82154471544715,20.2552845528455,248899.86,73869.642,53894.0358,97730.7012,193319.28,93922.488,29299.644,49033.116,198679.14,35263.602,51309.918,91439.37,155.974678975346,144.212824874402,130.19587470221,152.185901250587,146494.2,173.7793,320308,77398.6540000001,198234.1,206.4572,394306,87211.567,17040.2,13.5744,20930,2313.099,328064.2,268.7215,282051,57092.052,1.36748633879781,0.880327868852457,2.6775956284153,1.41120218579235,3.0327868852459,2.43032786885246,3.66939890710383,4.41229508196722,1.57185792349727,5.69890710382513,3.29808743169399,-7.59021739130435,-7.9695652173913,-5.86086956521739,-7.18369565217391,-5.82826086956522,-5.69347826086956,-5.20217391304348,-4.16847826086957,-7.61847826086957,-2.96195652173913,-6.25869565217392,49.6134828396241,45.3515237997818,23.265357286302,19.7671480672418,65.6719660188591,61.233443378045,5.86078622346587,6.11368217983223,6.3491389913798,5.72031177660741,6.1527326947041,5.61312810638807,5.92958914338989
2009,267,495,348,224,274,148.393495934959,114.084552845528,5.80243902439025,32.0178861788618,310759.812,88667.766,58903.5546,157436.136,248899.86,73869.642,53894.0358,97730.7012,258291,44901.054,51850.3392,147388.032,157.667685086409,150.905602520983,126.659721990298,157.063212931717,246648.2,150.08971,283963,56070.016,333865.2,223.29984,348425,63113.703,26093.8,30.59816,16485,1732.955,426372,295.93757,277170,51622.749,2.37095890410959,1.87616438356165,3.51260273972603,2.49123287671233,3.81506849315069,3.20219178082192,4.57808219178083,4.92602739726027,2.31780821917808,6.71917808219178,4.26794520547945,-5.16086956521739,-5.38152173913043,-3.07826086956522,-4.57934782608695,-3.375,-3.43586956521739,-2.94891304347826,-1.57282608695652,-5.69891304347826,-0.779347826086957,-3.65217391304348,51.2656855954329,48.9413854142312,26.2457231594429,24.2738999865094,65.9293820113388,62.2516102952513,5.55682806169954,5.96357934361845,6.19031540585315,5.74300318780948,6.1527326947041,5.4553211153577,5.95583736946483
2010,157,444,279,193,323,183.886178861789,153.052032520325,8.80837398373984,57.5252032520325,283288.5,96478.074,49105.3068,124020.666,310759.812,88667.766,58903.5546,157436.136,220809.6,41035.302,43828.3692,105102.36,160.287998946654,146.489763458114,126.441191842654,158.040310209478,126808,3.44438,361971,56411.214,208811.9,31.71464,432970,64460.954,24308.3,22.12506,21163,2157.349,308538,114.96456,297311,53881.758,1.36054794520548,0.910410958904111,1.33972602739726,1.0945205479452,1.99123287671233,1.96027397260274,3.51917808219178,3.05643835616438,1.35095890410959,5.39342465753424,3.15643835616438,-6.54021739130435,-6.80326086956522,-6.23695652173913,-6.13369565217391,-5.71956521739131,-4.63369565217391,-4.33913043478261,-4.22826086956522,-7.05978260869565,-2.82173913043478,-5.32934782608696,48.87867776284,45.9228869534721,23.9272799741604,19.0483756359852,64.2091468644002,59.8325539560961,5.43372200355424,5.59471137960184,6.03787091992214,5.42053499927229,5.75257263882563,5.27811465923052,5.57594910314632
2011,244,640,424,297,373,170.959349593496,132.80325203252,8.43471544715447,33.0747967479675,379742.22,97108.308,129200.3658,218594.178,283288.5,96478.074,49105.3068,124020.666,320862.96,46418.724,119519.8092,206004.744,163.241507870754,144.372598280773,119.14378188072,163.838354744511,183624.5,102.12641,359710,78280.714,283367,141.24487,446825,87474.253,33502.7,31.23621,24426,2168.594,508474.5,378.7977,330283,55624.576,1.87095890410959,1.33123287671233,1.9158904109589,1.61041095890411,2.44465753424658,2.30465753424658,3.87178082191781,3.4827397260274,2.03397260273973,6.04328767123288,3.55424657534247,-6.30217391304348,-6.80760869565218,-5.57282608695652,-6.03260869565217,-5.49782608695652,-4.84021739130435,-4.45434782608696,-4.2054347826087,-6.61304347826087,-2.2554347826087,-5.1054347826087,48.2183430266542,46.0912530687398,25.0804387334258,20.7180034882825,66.3058022086031,62.5942699116157,5.87493073085203,6.0913098820777,6.33859407820318,5.92157841964382,6.23048144757848,5.64190707093811,6.04500531403601
2012,213,640,340,226,236,208.780487804878,145.040650406504,9.7929268292683,74.179674796748,345575.34,89108.7119999999,116044.4142,181216.728,379742.22,97108.308,129200.3658,218594.178,271436.22,34854.732,62025.381,150838.776,144.753902111173,148.468723890597,110.641656609425,136.959029799922,367636.3,310.37915,331037,58456.247,508486.8,479.03178,375260,62838.345,44850.2,43.90151,11688,1143.361,639190,949.740050000001,218331,39516.299,2.91885245901639,2.48688524590164,2.60765027322404,2.6931693989071,3.3172131147541,3.55792349726776,5.00191256830601,4.70464480874317,3.13551912568306,7.17950819672132,4.42349726775956,-6.30978260869565,-6.67717391304348,-5.93152173913044,-5.93152173913044,-5.99347826086956,-4.45652173913043,-4.23260869565218,-4.09673913043478,-6.37391304347826,-1.88695652173913,-5.51304347826087,53.7444083177461,51.5036217948718,26.3082872289669,23.4814240702418,67.6310552536232,64.6661387507709,5.61312810638807,6.23048144757848,6.3491389913798,5.76205138278018,6.24027584517077,5.26269018890489,6.04500531403601
2013,213,467,295,18,41,175.219512195122,120.661788617886,7.68211382113821,34.6325203252032,216117,81865.872,14229.9432,58900.842,345575.34,89108.7119999999,116044.4142,181216.728,153329.22,36843.84,6125.3676,45735.228,148.313326596725,149.788982597748,116.394238174375,142.7738553424,213822.8,198.00348,342112,77398.79,337048.2,316.52982,406272,82660.703,42706.1,25.58198,8778,542.283,523472.2,513.71702,235610,22598.101,2.56630136986301,1.99972602739726,2.6441095890411,2.40958904109589,3.13780821917808,3.38739726027397,4.84575342465754,4.41315068493151,2.65589041095891,7.13698630136986,4.44054794520548,-6.28369565217391,-6.85869565217391,-5.71304347826087,-5.99673913043478,-5.71304347826087,-4.63152173913044,-4.33695652173913,-4.15652173913044,-6.57065217391304,-2.29021739130435,-5.23369565217391,53.595801817863,52.2210195691989,25.5901830866482,23.4187944707832,68.1300203804348,66.0236775362319,5.46383180502561,5.92958914338989,6.12029741895095,5.5683445037611,6.09582456243222,4.7361984483945,5.6937321388027
